location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Default,,,False,,,
,Stamen,,,False,,,
,Gramplet,,,False,,,
,border,,,False,,,
,Ancestry,,,False,,,
,Repository,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Elul,,,False,,,
,relation,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
,place,,,False,,,
,addon,,,False,,,
,debug,,,False,,,
,burial,,,False,,,
,Delimiter,,,False,,,
,citation,,,False,,,
,base relative media path,,,False,,,
,funeral,,,False,,,
,Tishri,,,False,,,
,places,,,False,,,
,bug,,,False,,,
,Events,,,False,,,
,bugs,,,False,,,
,substring,,,False,,,
,Gramps Web,,,False,,,
,plugin,,,False,,,
,Nisan,,,False,,,
,Gramps,,,False,,,
,Try to find,,,False,,,
,project,,,False,A project object within Gramps,,
,Default,,,False,1,,
