location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,Fundstelle,,False,,,
,Events,Ereignisse,,False,,,
,places,Orte,,False,,,
,place,Ort,,False,,,
,Gramps,Gramps,,False,,,
,Gramplet,Gramplet,,False,,,
,bug,Programmfehler,,False,,,
,bugs,Programmfehler,,False,,,
,debug,Debuggen,,False,,,
,Default,Standard,,False,,,
,Default,Standard,,False,1,,
,border,Rand,,False,,,
,Try to find,Versuche zu finden,,False,,,
,relation,Beziehung,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,relativer Basismedienpfad,,False,,,
,Delimiter,Trennzeichen,,False,,,
,funeral,Beerdigung,,False,,,
,burial,Begräbnis,,False,,,
,addon,Erweiterung,,False,,,
,plugin,Zusatzmodul,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Abstammung,,False,,,
,project,Projekt,,False,A project object within Gramps,,
,Repository,Aufbewahrungsort,,False,,,
,Person,Person,,False,"A ""person"" record within Gramps",,
