location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,lua,,False,,,
,Gramps,,,False,,,
,place,áit,,False,,,
,places,áiteanna,,False,,,
,Events,imeachtaí,,False,,,
,bug,fabht,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,dífhabhtaigh,,False,,,
,bugs,fabhtanna,,False,,,
,Default,réamhshocrú,,False,,,
,Default,réamhshocrú,,False,1,,
,border,teorainn,,False,,,
,Try to find,Déan iarracht a fháil,,False,,,
,relation,caidreamh,,False,,,
,Gramps Web,Gréasán Gramps,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,bonn cosán meán coibhneasta,,False,,,
,Delimiter,Teorainneoir,,False,,,
,funeral,sochraide,,False,,,
,burial,adhlacadh,,False,,,
,addon,Cuir ar,,False,,,
,plugin,plugáil isteach,,False,,,
,substring,fotheaghrán,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,sinsearacht,,False,,,
,project,tionscadal,,False,A project object within Gramps,,
,Repository,Repository,,False,,,
,Person,Duine,,False,"A ""person"" record within Gramps",,
