location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Default,,,False,1,,
,Gramplet,,,False,,,
,border,,,False,,,
,relation,,,False,,,
,place,,,False,,,
,debug,,,False,,,
,citation,,,False,,,
,places,,,False,,,
,bug,,,False,,,
,Events,,,False,,,
,bugs,,,False,,,
,Gramps,,,False,,,
,Try to find,,,False,,,
,Default,,,False,,,
,Gramps Web,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,,
,Delimiter,,,False,,,
,funeral,,,False,,,
,burial,,,False,,,
,addon,,,False,,,
,plugin,,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
