location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citat,,False,,,
,Gramps,Gramps,,False,,,
,place,mjesto,,False,,,
,places,mjesta,,False,,,
,Events,Događaji,,False,,,
,bug,greška,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,ispravljanje grešaka,,False,,,
,bugs,greške,,False,,,
,Default,Zadano,,False,,,
,Default,Zadano,,False,1,,
,border,rub,,False,,,
,Try to find,Pokušaj pronaći,,False,,,
,note,zabilješka,,False,,,
,notes,zabilješke,,False,,,
,relation,srodstvo,,False,,,
,Family Tree,Rodoslov,,False,,,
,Gramps Web,Gramps web,,False,,,
,REFN,Referentni broj,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,osnovna relativna staza medija,,False,,,
,Ordinance,Obred,,False,,,
,LDS,CIK,,False,,,
,LDS,mormonska crkva,,False,1,,
,character set,skup znakova,,False,,,
,Delimiter,Znak razdvajanja,,False,,,
,funeral,pogreb,,False,,,
,burial,pokop,,False,,,
,addon,dodatak,,False,,,
,plugin,dodatak,,False,,,
,substring,podniz,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tishri,,False,,,
,Elul,Elul,,False,,,
,thumbnail,sličica,,False,,,
,LDS,Crkva Isusa Krista svetaca posljednjih dana,,False,2,,
,repository,spremište,,False,,,
,repositories,spremišta,,False,,,
,repository,spremište,,False,1,,
,Stamen,Stamen,,False,,,
,Ancestry,Preci,,False,,,
,pedigree,porijeklo,,False,,,
,project,projekt,,False,A project object within Gramps,,
,Repository,Spremište,,False,,,
,Person,Osoba,,False,"A ""person"" record within Gramps",,
,layout,raspored,,False,,,
,label,etiketa,,False,,,
,tag,oznaka,,False,,,
,version,verzija,,False,,,
,college,visoko učilište,,False,,,
,tags,oznake,,False,,,
,labels,etikete,,False,,,
,graph,dijagram,,False,,,
,Province,pokrajina,,False,,,
,State,Država,,False,,,
,County,okrug,,False,,,
,District,kotar,,False,,,
,settlement,naselje,,False,,,
,path,staza,,False,,,
,paths,staze,,False,,,
,Pedigree Collapse,porijeklo s međurodbinskim brakovima,,False,,,
,timeline,vremenska crta,,False,,,
,TimeLines,vremenske crte,,False,,,
,nodes,čvorišta,,False,,,
,Gathering,prikupljanje,,False,,,
,bookmark,knjižna oznaka,,False,,,
,vertical,okomito,,False,,,
,horizontal,vodoravno,,False,,,
,Attaching,prilaganje,,False,,,
,Patronymic,patronimsko,,False,,,
,merge,spoji,,False,,,
,restore,obnovi,,False,,,
