location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,,,False,,,
,Gramps,,,False,,,
,place,,,False,,,
,places,,,False,,,
,Events,,,False,,,
,bug,,,False,,,
,Gramplet,,,False,,,
,debug,,,False,,,
,bugs,,,False,,,
,Default,,,False,,,
,Default,,,False,1,,
,border,,,False,,,
,Try to find,,,False,,,
,relation,,,False,,,
,Gramps Web,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,,
,Delimiter,,,False,,,
,funeral,,,False,,,
,burial,,,False,,,
,addon,,,False,,,
,plugin,,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
