location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citaat,,False,,,
,Gramps,Gramps,,False,,,
,place,plaats,,False,,,
,places,plaatsen,,False,,,
,Events,Gebeurtenissen,,False,,,
,bug,fout,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,foutopsporing,,False,,,
,bugs,fouten,,False,,,
,Default,Standaard,,False,,,
,Default,Standaard,,False,1,,
,border,rand,,False,,,
,Try to find,Zoeken,,False,,,
,relation,verwantschap,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,basis relatief mediapad,,False,,,
,Delimiter,Scheidingsteken,,False,,,
,Custom,Aangepast,,False,,,
,find,vinden,,False,,,
,search,zoeken,,False,,,
,tool,hulpmiddel,,False,,,
,funeral,uitvaart,,False,,,
,burial,begrafenis,,False,,,
,burial,begrafenis,,False,1,,
,addon,Uitbreiding,,False,,,
,plugin,plug-in,,False,,,
,substring,deeltekenreeks,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tisjri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Afstamming,,False,,,
,Bookmark,Bladwijzer,,False,,,
,project,project,,False,A project object within Gramps,,
,Repository,Opslagplaats,,False,,,
,Person,Persoon,,False,"A ""person"" record within Gramps",,
,Family view,Gezinsweergave,,False,,,
,surname,achternaam,,False,,,
,Help,Hulp,,False,,,
