location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,sitering,,False,,,
,Gramps,,,False,,,
,place,stad,,False,,,
,places,stadar,,False,,,
,Events,Hendingar,,False,,,
,bug,bugg,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,debugge,,False,,,
,bugs,bugg,,False,,,
,Default,Standard,,False,,,
,Default,Standard,,False,1,,
,border,grense,,False,,,
,Try to find,Prøv å finne,,False,,,
,relation,relasjon,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,Suggested in Weblate: base relativ media sti,
,Delimiter,,,False,,,
,funeral,,,False,,,
,burial,,,False,,,
,addon,,,False,,,
,plugin,,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
