location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citação,,False,,,
,Gramps,Gramps,,False,,,
,place,local,,False,,,
,places,locais,,False,,,
,Events,Eventos,,False,,,
,bug,erro,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,depurar,,False,,,
,bugs,erros,,False,,,
,Default,Pré-definição,,False,,,
,Default,Pré-definição,,False,1,,
,border,contorno,,False,,,
,Try to find,Tentar encontrar,,False,,,
,relation,relação,,False,,,
,Gramps Web,Gramps Web,,False,,,
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,caminho relativo da multimédia,,False,,,
,Delimiter,Delimitador,,False,,,
,funeral,funeral,,False,,,
,burial,inumação,,False,,,
,addon,extensão,,False,,,
,plugin,extensão,,False,,,
,substring,subcadeia,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tishri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,Ascendência,,False,,,
,project,projecto,,False,A project object within Gramps,,
,Repository,Repositório,,False,,,
,Person,Indivíduo,,False,"A ""person"" record within Gramps",,
