location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,citare,,False,,,
,Gramps,,,False,,,
,place,loc,,False,,,
,places,locuri,,False,,,
,Events,Evenimente,,False,,,
,bug,,,False,,,
,Gramplet,,,False,,,
,debug,depănare,,False,,,
,bugs,,,False,,,
,Default,Implicit,,False,,,
,Default,Implicit,,False,1,,
,border,,,False,,,
,Try to find,,,False,,,
,relation,relație,,False,,,
,Gramps Web,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,,
,Delimiter,Delimitator,,False,,,
,funeral,înmormântare,,False,,,
,burial,,,False,,,
,addon,,,False,,,
,plugin,,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,,,False,,,
,project,proiect,,False,A project object within Gramps,,
,Repository,Repertoriu,,False,,,
,Person,Persoană,,False,"A ""person"" record within Gramps",,
