location,source,target,id,fuzzy,context,translator_comments,developer_comments
,citation,Trích,,False,,,
,Gramps,Gramps,,False,,,
,place,Nơi,,False,,,
,places,Địa điểm,,False,,,
,Events,Sự kiện,,False,,,
,Gramplet,Gramplet,,False,,,
,debug,Dò gỡ rối,,False,,,
,bugs,,,False,,,
,bug,,,False,,,
,Default,,,False,,,
,Default,,,False,1,,
,border,,,False,,,
,Try to find,,,False,,,
,relation,,,False,,,
,Gramps Web,,,False,,,
,REFN,,,False,,,A GEDCOM tag used to store a user-defined identifier.
,base relative media path,,,False,,,
,Delimiter,,,False,,,
,funeral,,,False,,,
,burial,,,False,,,
,addon,,,False,,,
,plugin,,,False,,,
,substring,Teilzeichenfolge,,False,,,
,Nisan,Nisan,,False,,,
,Tishri,Tiszri,,False,,,
,Elul,Elul,,False,,,
,Stamen,Stamen,,False,,,
,Ancestry,,,False,,,
,project,,,False,A project object within Gramps,,
,Repository,,,False,,,
,Person,,,False,"A ""person"" record within Gramps",,
